Pipeline,Timestamp,Test Size,LLM Model,Embedding Model,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,page_recall@1,page_recall@3,page_recall@5,ndcg@1,ndcg@3,ndcg@5,map,mrr,token_f1,bleu,rouge1,rouge2,rougeL,exact_match,contains_match,semantic_similarity
1_Baseline (BaselineRAGPipeline),2026-04-21 15:35:06,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.52,0.2089,0.1267,0.52,0.6267,0.6333,0.0,0.0,0.0,0.52,0.5812,0.5841,0.5672,0.5672,0.1593,0.138,0.181,0.0891,0.1832,0.12,0.14,0.6633
2_Chunk_Ablation_sliding_window (AdvancedRAGPipeline),2026-04-21 15:39:53,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.84,0.3022,0.1827,0.84,0.9067,0.9133,0.0,0.0,0.0,0.84,0.8803,0.8829,0.8724,0.8724,0.1922,0.166,0.2173,0.098,0.2231,0.1333,0.1533,0.7344
2_Chunk_Ablation_semantic (AdvancedRAGPipeline),2026-04-21 15:44:24,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.86,0.2978,0.1827,0.86,0.8933,0.9133,0.0,0.0,0.0,0.86,0.8802,0.8885,0.8802,0.8802,0.1719,0.1437,0.1877,0.081,0.1888,0.12,0.1467,0.7169
2_Chunk_Ablation_hierarchical (AdvancedRAGPipeline),2026-04-21 15:47:00,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8733,0.3,0.1827,0.8733,0.9,0.9133,0.0,0.0,0.0,0.8733,0.8893,0.895,0.8889,0.8889,0.1677,0.1435,0.1984,0.0862,0.2034,0.1133,0.1333,0.7299
2_Chunk_Ablation_enhanced_hierarchical (AdvancedRAGPipeline),2026-04-21 15:51:58,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.86,0.3022,0.1827,0.86,0.9067,0.9133,0.0,0.0,0.0,0.86,0.8877,0.8903,0.8824,0.8824,0.1479,0.123,0.1743,0.0785,0.1794,0.0933,0.12,0.7182
3_Query_Ablation_multi_query (AdvancedRAGPipeline),2026-04-21 15:57:38,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8067,0.2933,0.1773,0.8067,0.88,0.8867,0.0,0.0,0.0,0.8067,0.8494,0.8523,0.8406,0.8406,0.1992,0.1693,0.2131,0.0945,0.2151,0.1333,0.1667,0.7273
3_Query_Ablation_rag_fusion (AdvancedRAGPipeline),2026-04-21 16:03:33,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.6933,0.2822,0.1733,0.6933,0.8467,0.8667,0.0,0.0,0.0,0.6933,0.7848,0.7929,0.7677,0.7677,0.1939,0.1675,0.2122,0.0949,0.2168,0.1333,0.1667,0.7263
3_Query_Ablation_step_back (AdvancedRAGPipeline),2026-04-21 16:07:37,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.7133,0.28,0.1747,0.7133,0.84,0.8733,0.0,0.0,0.0,0.7133,0.788,0.8024,0.7783,0.7783,0.1827,0.1585,0.1961,0.089,0.1966,0.1267,0.1467,0.7202
3_Query_Ablation_hyde (AdvancedRAGPipeline),2026-04-21 16:10:40,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.6467,0.2511,0.152,0.6467,0.7533,0.76,0.0,0.0,0.0,0.6467,0.7087,0.7116,0.695,0.695,0.1371,0.1095,0.1689,0.0715,0.1697,0.0733,0.1133,0.716
3_Query_Ablation_query_decomposition (AdvancedRAGPipeline),2026-04-21 16:16:33,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.7067,0.2822,0.176,0.7067,0.8467,0.88,0.0,0.0,0.0,0.7067,0.7924,0.8064,0.7813,0.7813,0.1882,0.1636,0.215,0.0959,0.2144,0.1333,0.1533,0.7238
3_Query_Ablation_query_rewriting (AdvancedRAGPipeline),2026-04-21 16:20:16,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.84,0.3022,0.184,0.84,0.9067,0.92,0.0,0.0,0.0,0.84,0.8794,0.8849,0.873,0.873,0.1683,0.1432,0.1945,0.0974,0.1965,0.12,0.1533,0.7222
3_Query_Ablation_query_expansion (AdvancedRAGPipeline),2026-04-21 16:25:27,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.7867,0.2933,0.1773,0.7867,0.88,0.8867,0.0,0.0,0.0,0.7867,0.8412,0.8438,0.8291,0.8291,0.1869,0.151,0.2127,0.0837,0.2153,0.12,0.1667,0.7213
4_Prompt_Ablation_few_shot (AdvancedRAGPipeline),2026-04-21 16:28:11,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8467,0.2978,0.184,0.8467,0.8933,0.92,0.0,0.0,0.0,0.8467,0.8735,0.8847,0.873,0.873,0.1515,0.1184,0.1595,0.0782,0.1573,0.0933,0.1,0.6288
4_Prompt_Ablation_role (AdvancedRAGPipeline),2026-04-21 16:31:02,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8467,0.2978,0.184,0.8467,0.8933,0.92,0.0,0.0,0.0,0.8467,0.8735,0.8847,0.873,0.873,0.1381,0.1055,0.1508,0.068,0.1488,0.08,0.1333,0.577
4_Prompt_Ablation_cot (AdvancedRAGPipeline),2026-04-21 16:33:49,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8467,0.2978,0.184,0.8467,0.8933,0.92,0.0,0.0,0.0,0.8467,0.8735,0.8847,0.873,0.873,0.207,0.185,0.2295,0.0975,0.2282,0.1667,0.18,0.6377
5_Multimodal_True (AdvancedRAGPipeline),2026-04-21 16:36:36,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.82,0.2933,0.1787,0.82,0.88,0.8933,0.0,0.0,0.0,0.82,0.8544,0.8601,0.8489,0.8489,0.1739,0.1523,0.1994,0.0995,0.2019,0.1333,0.1533,0.7178
Pipeline,Timestamp,Test Size,LLM Model,Embedding Model,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,page_recall@1,page_recall@3,page_recall@5,ndcg@1,ndcg@3,ndcg@5,map,mrr,token_f1,bleu,rouge1,rouge2,rougeL,exact_match,contains_match,semantic_similarity
Step1_ChunkOpt_fixed_size (AdvancedRAGPipeline),2026-04-21 17:59:57,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8467,0.2978,0.184,0.8467,0.8933,0.92,0.0,0.0,0.0,0.8467,0.8735,0.8847,0.873,0.873,0.1893,0.1616,0.211,0.1061,0.2133,0.1267,0.1733,0.7308
Step1_ChunkOpt_sliding_window (AdvancedRAGPipeline),2026-04-21 18:07:12,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.84,0.3022,0.1827,0.84,0.9067,0.9133,0.0,0.0,0.0,0.84,0.8803,0.8829,0.8724,0.8724,0.1922,0.166,0.2173,0.098,0.2231,0.1333,0.1533,0.7344
Step1_ChunkOpt_semantic (AdvancedRAGPipeline),2026-04-21 18:10:25,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.86,0.2978,0.1827,0.86,0.8933,0.9133,0.0,0.0,0.0,0.86,0.8802,0.8885,0.8802,0.8802,0.1719,0.1437,0.1877,0.081,0.1888,0.12,0.1467,0.7169
Step1_ChunkOpt_hierarchical (AdvancedRAGPipeline),2026-04-21 18:13:18,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.8733,0.3,0.1827,0.8733,0.9,0.9133,0.0,0.0,0.0,0.8733,0.8893,0.895,0.8889,0.8889,0.1677,0.1435,0.1984,0.0862,0.2034,0.1133,0.1333,0.7299
Step1_ChunkOpt_enhanced_hierarchical (AdvancedRAGPipeline),2026-04-21 18:16:27,150,qwen3-vl:8b-instruct,jinaai/jina-clip-v2,0.86,0.3022,0.1827,0.86,0.9067,0.9133,0.0,0.0,0.0,0.86,0.8877,0.8903,0.8824,0.8824,0.1479,0.123,0.1743,0.0785,0.1794,0.0933,0.12,0.7182
